fold,origin,model,pinball_p50,coverage_p50,pinball_p90,coverage_p90,pinball_p95,coverage_p95,rmsse_mean,wrmsse
0,2016-02-28,lgbm_quantile,2.5106311830196115,0.495,1.3031741993893005,0.9047619047619048,0.8205093212193426,0.9526190476190476,0.7398218745837132,0.692813593137664
0,2016-02-28,seasonal_naive,2.4214285714285713,0.4911904761904762,1.541909523809524,0.8004761904761905,1.1761738095238101,0.8383333333333334,0.7378726001243416,0.6930607125910508
1,2016-03-27,lgbm_quantile,2.3782285825243177,0.5330952380952381,1.3469607026863466,0.9102380952380953,0.8756027768547133,0.9473809523809524,0.7246470830775784,0.6593511205884863
1,2016-03-27,seasonal_naive,2.263333333333333,0.5678571428571428,1.4285619047619045,0.825,1.06297380952381,0.8595238095238096,0.7060310616073928,0.6533818906546703
2,2016-04-24,lgbm_quantile,2.34785962700564,0.49,1.323549892561957,0.8911904761904762,0.8339881456960893,0.9488095238095238,0.7403033747573278,0.6539252118483779
2,2016-04-24,seasonal_naive,2.4983333333333335,0.5066666666666667,1.7067571428571429,0.7704761904761904,1.2806119047619056,0.8142857142857143,0.7737070333037901,0.6838874550507426
